text,label
Government passes new education policy,1
Scientists discover water on Mars,1
Stock market hits record high,1
New technology improves battery life,1
Doctors find new treatment for diabetes,1
Aliens landed in my backyard yesterday,0
Miracle drink burns fat overnight,0
Fake cure for cancer found in kitchen,0
Celebrity is actually a robot from future,0
Secret society controls the world economy,0
NASA announces new moon mission,1
Researchers develop AI for healthcare,1
Eating chocolate cures all diseases,0
Time travel machine built by student,0
New vaccine shows positive results,1
Man claims to live without food for years,0
Global warming effects increasing rapidly,1
Magical pill increases IQ instantly,0
SpaceX launches new rocket successfully,1
Invisible cloak invented by teenager,0
