review,label
Amazing movie,positive
Loved the acting,positive
Worst experience ever,negative
I hate this,negative
Very good service,positive
Not satisfied,negative
Excellent quality,positive
Bad product,negative
It is okay,neutral
Fantastic storyline,positive
Terrible direction,negative
Pretty decent,neutral
I enjoyed it,positive
Waste of time,negative
Average movie,neutral
Superb visuals,positive
Not worth watching,negative
Brilliant performance,positive
Could be better,neutral
Absolutely loved it,positive
Disappointing film,negative
Nice effort,positive
Horrible acting,negative
Great film,positive
Awful movie,negative
So boring,negative
Really enjoyable,positive
Mediocre story,neutral
Loved it,positive
Hated it,negative
Just fine,neutral
